Name,Variation,Type1,Type2,Total,HP,Attack,Defense,SpAtk,SpDef,Speed
Wormadam,Plant Cloak ,Bug,Grass,424,60,59,85,79,105,36
Wormadam,Sandy Cloak ,Bug,Ground,424,60,79,105,59,85,36
Wormadam,Trash Cloak ,Bug,Steel,424,60,69,95,69,95,36
Mothim,,Bug,Flying,424,70,94,50,94,50,66
Combee,,Bug,Flying,244,30,30,42,30,42,70
Vespiquen,,Bug,Flying,474,70,80,102,80,102,40
Pachirisu,,Electric,,405,60,45,70,45,90,95
Buizel,,Water,,330,55,65,35,60,30,85
Floatzel,,Water,,495,85,105,55,85,50,115
Cherubi,,Grass,,275,45,35,45,62,53,35
Cherrim,,Grass,,450,70,60,70,87,78,85
Shellos,,Water,,325,76,48,48,57,62,34
Gastrodon,,Water,Ground,475,111,83,68,92,82,39
Ambipom,,Normal,,482,75,100,66,60,66,115
Drifloon,,Ghost,Flying,348,90,50,34,60,44,70
Drifblim,,Ghost,Flying,498,150,80,44,90,54,80
Buneary,,Normal,,350,55,66,44,44,56,85
Lopunny,,Normal,,480,65,76,84,54,96,105
Lopunny,Mega ,Normal,Fighting,580,65,136,94,54,96,135
Mismagius,,Ghost,,495,60,60,60,105,105,105
Honchkrow,,Dark,Flying,505,100,125,52,105,52,71
Glameow,,Normal,,310,49,55,42,42,37,85
Purugly,,Normal,,452,71,82,64,64,59,112
Chingling,,Psychic,,285,45,30,50,65,50,45
Stunky,,Poison,Dark,329,63,63,47,41,41,74
Skuntank,,Poison,Dark,479,103,93,67,71,61,84
Bronzor,,Steel,Psychic,300,57,24,86,24,86,23
Bronzong,,Steel,Psychic,500,67,89,116,79,116,33
Bonsly,,Rock,,290,50,80,95,10,45,10
Mime Jr.,,Psychic,Fairy,310,20,25,45,70,90,60
Happiny,,Normal,,220,100,5,5,15,65,30
Chatot,,Normal,Flying,411,76,65,45,92,42,91
Spiritomb,,Ghost,Dark,485,50,92,108,92,108,35
Gible,,Dragon,Ground,300,58,70,45,40,45,42
Gabite,,Dragon,Ground,410,68,90,65,50,55,82
Garchomp,,Dragon,Ground,600,108,130,95,80,85,102
Garchomp,Mega ,Dragon,Ground,700,108,170,115,120,95,92
Munchlax,,Normal,,390,135,85,40,40,85,5
Riolu,,Fighting,,285,40,70,40,35,40,60
Lucario,,Fighting,Steel,525,70,110,70,115,70,90
Lucario,Mega ,Fighting,Steel,625,70,145,88,140,70,112
Hippopotas,,Ground,,330,68,72,78,38,42,32
Hippowdon,,Ground,,525,108,112,118,68,72,47
Skorupi,,Poison,Bug,330,40,50,90,30,55,65
Drapion,,Poison,Dark,500,70,90,110,60,75,95
Croagunk,,Poison,Fighting,300,48,61,40,61,40,50
Toxicroak,,Poison,Fighting,490,83,106,65,86,65,85
Carnivine,,Grass,,454,74,100,72,90,72,46
Finneon,,Water,,330,49,49,56,49,61,66
Lumineon,,Water,,460,69,69,76,69,86,91
Mantyke,,Water,Flying,345,45,20,50,60,120,50
Snover,,Grass,Ice,334,60,62,50,62,60,40
Abomasnow,,Grass,Ice,494,90,92,75,92,85,60
Abomasnow,Mega ,Grass,Ice,594,90,132,105,132,105,30
Weavile,,Dark,Ice,510,70,120,65,45,85,125
Magnezone,,Electric,Steel,535,70,70,115,130,90,60
Lickilicky,,Normal,,515,110,85,95,80,95,50
Rhyperior,,Ground,Rock,535,115,140,130,55,55,40
Tangrowth,,Grass,,535,100,100,125,110,50,50
Electivire,,Electric,,540,75,123,67,95,85,95
Magmortar,,Fire,,540,75,95,67,125,95,83
Togekiss,,Fairy,Flying,545,85,50,95,120,115,80
Yanmega,,Bug,Flying,515,86,76,86,116,56,95
Leafeon,,Grass,,525,65,110,130,60,65,95
Glaceon,,Ice,,525,65,60,110,130,95,65
Gliscor,,Ground,Flying,510,75,95,125,45,75,95
Mamoswine,,Ice,Ground,530,110,130,80,70,60,80
Porygon-Z,,Normal,,535,85,80,70,135,75,90
Gallade,,Psychic,Fighting,518,68,125,65,65,115,80
Gallade,Mega ,Psychic,Fighting,618,68,165,95,65,115,110
Probopass,,Rock,Steel,525,60,55,145,75,150,40
Dusknoir,,Ghost,,525,45,100,135,65,135,45
Froslass,,Ice,Ghost,480,70,80,70,80,70,110
Rotom,,Electric,Ghost,440,50,50,77,95,77,91
Rotom,Heat ,Electric,Fire,520,50,65,107,105,107,86
Rotom,Wash ,Electric,Water,520,50,65,107,105,107,86
Rotom,Frost ,Electric,Ice,520,50,65,107,105,107,86
Rotom,Fan ,Electric,Flying,520,50,65,107,105,107,86
Rotom,Mow ,Electric,Grass,520,50,65,107,105,107,86
Uxie,,Psychic,,580,75,75,130,75,130,95
Mesprit,,Psychic,,580,80,105,105,105,105,80
Azelf,,Psychic,,580,75,125,70,125,70,115
Dialga,,Steel,Dragon,680,100,120,120,150,100,90
Palkia,,Water,Dragon,680,90,120,100,150,120,100
Heatran,,Fire,Steel,600,91,90,106,130,106,77
Regigigas,,Normal,,670,110,160,110,80,110,100
Giratina,Altered ,Ghost,Dragon,680,150,100,120,100,120,90
Giratina,Origin ,Ghost,Dragon,680,150,120,100,120,100,90
Cresselia,,Psychic,,600,120,70,120,75,130,85
Phione,,Water,,480,80,80,80,80,80,80
Manaphy,,Water,,600,100,100,100,100,100,100
Darkrai,,Dark,,600,70,90,90,135,90,125
Shaymin,Land ,Grass,,600,100,100,100,100,100,100
Shaymin,Sky ,Grass,Flying,600,100,103,75,120,75,127
Arceus,,Normal,,720,120,120,120,120,120,120
Victini,,Psychic,Fire,600,100,100,100,100,100,100
Snivy,,Grass,,308,45,45,55,45,55,63
Servine,,Grass,,413,60,60,75,60,75,83
Serperior,,Grass,,528,75,75,95,75,95,113
Tepig,,Fire,,308,65,63,45,45,45,45
Pignite,,Fire,Fighting,418,90,93,55,70,55,55
Emboar,,Fire,Fighting,528,110,123,65,100,65,65
Oshawott,,Water,,308,55,55,45,63,45,45
Dewott,,Water,,413,75,75,60,83,60,60
Samurott,,Water,,528,95,100,85,108,70,70
Patrat,,Normal,,255,45,55,39,35,39,42
Watchog,,Normal,,420,60,85,69,60,69,77
Lillipup,,Normal,,275,45,60,45,25,45,55
Herdier,,Normal,,370,65,80,65,35,65,60
Stoutland,,Normal,,500,85,110,90,45,90,80
Purrloin,,Dark,,281,41,50,37,50,37,66
Liepard,,Dark,,446,64,88,50,88,50,106
Pansage,,Grass,,316,50,53,48,53,48,64
Simisage,,Grass,,498,75,98,63,98,63,101
Pansear,,Fire,,316,50,53,48,53,48,64
Simisear,,Fire,,498,75,98,63,98,63,101
Panpour,,Water,,316,50,53,48,53,48,64
Simipour,,Water,,498,75,98,63,98,63,101
Munna,,Psychic,,292,76,25,45,67,55,24
Musharna,,Psychic,,487,116,55,85,107,95,29
Pidove,,Normal,Flying,264,50,55,50,36,30,43
Tranquill,,Normal,Flying,358,62,77,62,50,42,65
Unfezant,,Normal,Flying,488,80,115,80,65,55,93
Blitzle,,Electric,,295,45,60,32,50,32,76
Zebstrika,,Electric,,497,75,100,63,80,63,116
Roggenrola,,Rock,,280,55,75,85,25,25,15
Boldore,,Rock,,390,70,105,105,50,40,20
Gigalith,,Rock,,515,85,135,130,60,80,25
Woobat,,Psychic,Flying,323,65,45,43,55,43,72
Swoobat,,Psychic,Flying,425,67,57,55,77,55,114
Drilbur,,Ground,,328,60,85,40,30,45,68
Excadrill,,Ground,Steel,508,110,135,60,50,65,88
Audino,,Normal,,445,103,60,86,60,86,50
Audino,Mega ,Normal,Fairy,545,103,60,126,80,126,50
Timburr,,Fighting,,305,75,80,55,25,35,35
Gurdurr,,Fighting,,405,85,105,85,40,50,40
Conkeldurr,,Fighting,,505,105,140,95,55,65,45
Tympole,,Water,,294,50,50,40,50,40,64
Palpitoad,,Water,Ground,384,75,65,55,65,55,69
Seismitoad,,Water,Ground,509,105,95,75,85,75,74
Throh,,Fighting,,465,120,100,85,30,85,45
Sawk,,Fighting,,465,75,125,75,30,75,85
Sewaddle,,Bug,Grass,310,45,53,70,40,60,42
Swadloon,,Bug,Grass,380,55,63,90,50,80,42
Leavanny,,Bug,Grass,500,75,103,80,70,80,92
Venipede,,Bug,Poison,260,30,45,59,30,39,57
Whirlipede,,Bug,Poison,360,40,55,99,40,79,47
Scolipede,,Bug,Poison,485,60,100,89,55,69,112
Cottonee,,Grass,Fairy,280,40,27,60,37,50,66
Whimsicott,,Grass,Fairy,480,60,67,85,77,75,116
Petilil,,Grass,,280,45,35,50,70,50,30
Lilligant,,Grass,,480,70,60,75,110,75,90
Basculin,Red-Striped,Water,,460,70,92,65,80,55,98
Basculin,Blue-Striped,Water,,460,70,92,65,80,55,98
Sandile,,Ground,Dark,292,50,72,35,35,35,65
Krokorok,,Ground,Dark,351,60,82,45,45,45,74
Krookodile,,Ground,Dark,519,95,117,80,65,70,92
Darumaka,,Fire,,315,70,90,45,15,45,50
Darumaka,Galarian ,Ice,,315,70,90,45,15,45,50
Darmanitan,Standard ,Fire,,480,105,140,55,30,55,95
Darmanitan,Zen ,Fire,Psychic,540,105,30,105,140,105,55
Darmanitan,Galarian Standard,Ice,,480,105,140,55,30,55,95
Darmanitan,Galarian Zen ,Ice,Fire,540,105,160,55,30,55,135
Maractus,,Grass,,461,75,86,67,106,67,60
Dwebble,,Bug,Rock,325,50,65,85,35,35,55
Crustle,,Bug,Rock,485,70,105,125,65,75,45
Scraggy,,Dark,Fighting,348,50,75,70,35,70,48
Scrafty,,Dark,Fighting,488,65,90,115,45,115,58
Sigilyph,,Psychic,Flying,490,72,58,80,103,80,97
Yamask,,Ghost,,303,38,30,85,55,65,30
Yamask,Galarian ,Ground,Ghost,303,38,55,85,30,65,30
Cofagrigus,,Ghost,,483,58,50,145,95,105,30
Tirtouga,,Water,Rock,355,54,78,103,53,45,22
Carracosta,,Water,Rock,495,74,108,133,83,65,32
Archen,,Rock,Flying,401,55,112,45,74,45,70
Archeops,,Rock,Flying,567,75,140,65,112,65,110
Trubbish,,Poison,,329,50,50,62,40,62,65
Garbodor,,Poison,,474,80,95,82,60,82,75
Zorua,,Dark,,330,40,65,40,80,40,65
Zoroark,,Dark,,510,60,105,60,120,60,105
Minccino,,Normal,,300,55,50,40,40,40,75
Cinccino,,Normal,,470,75,95,60,65,60,115
Gothita,,Psychic,,290,45,30,50,55,65,45
Gothorita,,Psychic,,390,60,45,70,75,85,55
Gothitelle,,Psychic,,490,70,55,95,95,110,65
Solosis,,Psychic,,290,45,30,40,105,50,20
Duosion,,Psychic,,370,65,40,50,125,60,30
Reuniclus,,Psychic,,490,110,65,75,125,85,30
Ducklett,,Water,Flying,305,62,44,50,44,50,55
Swanna,,Water,Flying,473,75,87,63,87,63,98
Vanillite,,Ice,,305,36,50,50,65,60,44
Vanillish,,Ice,,395,51,65,65,80,75,59
Vanilluxe,,Ice,,535,71,95,85,110,95,79
Deerling,,Normal,Grass,335,60,60,50,40,50,75
Sawsbuck,,Normal,Grass,475,80,100,70,60,70,95
Emolga,,Electric,Flying,428,55,75,60,75,60,103
Karrablast,,Bug,,315,50,75,45,40,45,60
Escavalier,,Bug,Steel,495,70,135,105,60,105,20
Foongus,,Grass,Poison,294,69,55,45,55,55,15
Amoonguss,,Grass,Poison,464,114,85,70,85,80,30
Frillish,,Water,Ghost,335,55,40,50,65,85,40
Jellicent,,Water,Ghost,480,100,60,70,85,105,60
Alomomola,,Water,,470,165,75,80,40,45,65
Joltik,,Bug,Electric,319,50,47,50,57,50,65
Galvantula,,Bug,Electric,472,70,77,60,97,60,108
Ferroseed,,Grass,Steel,305,44,50,91,24,86,10
Ferrothorn,,Grass,Steel,489,74,94,131,54,116,20
Klink,,Steel,,300,40,55,70,45,60,30
Klang,,Steel,,440,60,80,95,70,85,50
Klinklang,,Steel,,520,60,100,115,70,85,90
Tynamo,,Electric,,275,35,55,40,45,40,60
Eelektrik,,Electric,,405,65,85,70,75,70,40
Eelektross,,Electric,,515,85,115,80,105,80,50
Elgyem,,Psychic,,335,55,55,55,85,55,30
Beheeyem,,Psychic,,485,75,75,75,125,95,40
Litwick,,Ghost,Fire,275,50,30,55,65,55,20
Lampent,,Ghost,Fire,370,60,40,60,95,60,55
Chandelure,,Ghost,Fire,520,60,55,90,145,90,80
Axew,,Dragon,,320,46,87,60,30,40,57
Fraxure,,Dragon,,410,66,117,70,40,50,67
Haxorus,,Dragon,,540,76,147,90,60,70,97
Cubchoo,,Ice,,305,55,70,40,60,40,40
Beartic,,Ice,,505,95,130,80,70,80,50
Cryogonal,,Ice,,515,80,50,50,95,135,105
Shelmet,,Bug,,305,50,40,85,40,65,25
Accelgor,,Bug,,495,80,70,40,100,60,145
Stunfisk,,Ground,Electric,471,109,66,84,81,99,32
Stunfisk,Galarian ,Ground,Steel,471,109,81,99,66,84,32
Mienfoo,,Fighting,,350,45,85,50,55,50,65
Mienshao,,Fighting,,510,65,125,60,95,60,105
Druddigon,,Dragon,,485,77,120,90,60,90,48
Golett,,Ground,Ghost,303,59,74,50,35,50,35
Golurk,,Ground,Ghost,483,89,124,80,55,80,55
Pawniard,,Dark,Steel,340,45,85,70,40,40,60
Bisharp,,Dark,Steel,490,65,125,100,60,70,70
Bouffalant,,Normal,,490,95,110,95,40,95,55
Rufflet,,Normal,Flying,350,70,83,50,37,50,60
Braviary,,Normal,Flying,510,100,123,75,57,75,80
Vullaby,,Dark,Flying,370,70,55,75,45,65,60
Mandibuzz,,Dark,Flying,510,110,65,105,55,95,80
Heatmor,,Fire,,484,85,97,66,105,66,65
Durant,,Bug,Steel,484,58,109,112,48,48,109
Deino,,Dark,Dragon,300,52,65,50,45,50,38
Zweilous,,Dark,Dragon,420,72,85,70,65,70,58
Hydreigon,,Dark,Dragon,600,92,105,90,125,90,98
Larvesta,,Bug,Fire,360,55,85,55,50,55,60
Volcarona,,Bug,Fire,550,85,60,65,135,105,100
Cobalion,,Steel,Fighting,580,91,90,129,90,72,108
Terrakion,,Rock,Fighting,580,91,129,90,72,90,108
Virizion,,Grass,Fighting,580,91,90,72,90,129,108
Tornadus,Incarnate ,Flying,,580,79,115,70,125,80,111
Tornadus,Therian ,Flying,,580,79,100,80,110,90,121
Thundurus,Incarnate ,Electric,Flying,580,79,115,70,125,80,111
Thundurus,Therian ,Electric,Flying,580,79,105,70,145,80,101
Reshiram,,Dragon,Fire,680,100,120,100,150,120,90
Zekrom,,Dragon,Electric,680,100,150,120,120,100,90
Landorus,Incarnate ,Ground,Flying,600,89,125,90,115,80,101
Landorus,Therian ,Ground,Flying,600,89,145,90,105,80,91
Kyurem,,Dragon,Ice,660,125,130,90,130,90,95
Kyurem,Black ,Dragon,Ice,700,125,170,100,120,90,95
Kyurem,White ,Dragon,Ice,700,125,120,90,170,100,95
Keldeo,Ordinary ,Water,Fighting,580,91,72,90,129,90,108
Keldeo,Resolute ,Water,Fighting,580,91,72,90,129,90,108
Meloetta,Aria ,Normal,Psychic,600,100,77,77,128,128,90
Meloetta,Pirouette ,Normal,Fighting,600,100,128,90,77,77,128
Genesect,,Bug,Steel,600,71,120,95,120,95,99
Chespin,,Grass,,313,56,61,65,48,45,38
Quilladin,,Grass,,405,61,78,95,56,58,57
Chesnaught,,Grass,Fighting,530,88,107,122,74,75,64
Fennekin,,Fire,,307,40,45,40,62,60,60
Braixen,,Fire,,409,59,59,58,90,70,73
Delphox,,Fire,Psychic,534,75,69,72,114,100,104
Froakie,,Water,,314,41,56,40,62,44,71
Frogadier,,Water,,405,54,63,52,83,56,97
Greninja,,Water,Dark,530,72,95,67,103,71,122
Greninja,Ash-Greninja,Water,Dark,640,72,145,67,153,71,132
Bunnelby,,Normal,,237,38,36,38,32,36,57
Diggersby,,Normal,Ground,423,85,56,77,50,77,78
Fletchling,,Normal,Flying,278,45,50,43,40,38,62
Fletchinder,,Fire,Flying,382,62,73,55,56,52,84
Talonflame,,Fire,Flying,499,78,81,71,74,69,126
Scatterbug,,Bug,,200,38,35,40,27,25,35
Spewpa,,Bug,,213,45,22,60,27,30,29
Vivillon,,Bug,Flying,411,80,52,50,90,50,89
Litleo,,Fire,Normal,369,62,50,58,73,54,72
Pyroar,,Fire,Normal,507,86,68,72,109,66,106
Flabébé,,Fairy,,303,44,38,39,61,79,42
Floette,,Fairy,,371,54,45,47,75,98,52
Florges,,Fairy,,552,78,65,68,112,154,75
Skiddo,,Grass,,350,66,65,48,62,57,52
Gogoat,,Grass,,531,123,100,62,97,81,68
Pancham,,Fighting,,348,67,82,62,46,48,43
Pangoro,,Fighting,Dark,495,95,124,78,69,71,58
Furfrou,,Normal,,472,75,80,60,65,90,102
Espurr,,Psychic,,355,62,48,54,63,60,68
Meowstic,Male ,Psychic,,466,74,48,76,83,81,104
Meowstic,Female ,Psychic,,466,74,48,76,83,81,104
Honedge,,Steel,Ghost,325,45,80,100,35,37,28
Doublade,,Steel,Ghost,448,59,110,150,45,49,35
Aegislash,Shield ,Steel,Ghost,500,60,50,140,50,140,60
Aegislash,Blade ,Steel,Ghost,500,60,140,50,140,50,60
Spritzee,,Fairy,,341,78,52,60,63,65,23
Aromatisse,,Fairy,,462,101,72,72,99,89,29
Swirlix,,Fairy,,341,62,48,66,59,57,49
Slurpuff,,Fairy,,480,82,80,86,85,75,72
Inkay,,Dark,Psychic,288,53,54,53,37,46,45
Malamar,,Dark,Psychic,482,86,92,88,68,75,73
Binacle,,Rock,Water,306,42,52,67,39,56,50
Barbaracle,,Rock,Water,500,72,105,115,54,86,68
Skrelp,,Poison,Water,320,50,60,60,60,60,30
Dragalge,,Poison,Dragon,494,65,75,90,97,123,44
Clauncher,,Water,,330,50,53,62,58,63,44
Clawitzer,,Water,,500,71,73,88,120,89,59
Helioptile,,Electric,Normal,289,44,38,33,61,43,70
Heliolisk,,Electric,Normal,481,62,55,52,109,94,109
Tyrunt,,Rock,Dragon,362,58,89,77,45,45,48
Tyrantrum,,Rock,Dragon,521,82,121,119,69,59,71
Amaura,,Rock,Ice,362,77,59,50,67,63,46
Aurorus,,Rock,Ice,521,123,77,72,99,92,58
Sylveon,,Fairy,,525,95,65,65,110,130,60
Hawlucha,,Fighting,Flying,500,78,92,75,74,63,118
Dedenne,,Electric,Fairy,431,67,58,57,81,67,101
Carbink,,Rock,Fairy,500,50,50,150,50,150,50
Goomy,,Dragon,,300,45,50,35,55,75,40
Sliggoo,,Dragon,,452,68,75,53,83,113,60
Goodra,,Dragon,,600,90,100,70,110,150,80
Klefki,,Steel,Fairy,470,57,80,91,80,87,75
Phantump,,Ghost,Grass,309,43,70,48,50,60,38
Trevenant,,Ghost,Grass,474,85,110,76,65,82,56
Pumpkaboo,Average Size ,Ghost,Grass,335,49,66,70,44,55,51
Pumpkaboo,Small Size ,Ghost,Grass,335,44,66,70,44,55,56
Pumpkaboo,Large Size ,Ghost,Grass,335,54,66,70,44,55,46
Pumpkaboo,Super Size ,Ghost,Grass,335,59,66,70,44,55,41
Gourgeist,Average Size ,Ghost,Grass,494,65,90,122,58,75,84
Gourgeist,Small Size ,Ghost,Grass,494,55,85,122,58,75,99
Gourgeist,Large Size ,Ghost,Grass,494,75,95,122,58,75,69
Gourgeist,Super Size ,Ghost,Grass,494,85,100,122,58,75,54
Bergmite,,Ice,,304,55,69,85,32,35,28
Avalugg,,Ice,,514,95,117,184,44,46,28
Noibat,,Flying,Dragon,245,40,30,35,45,40,55
Noivern,,Flying,Dragon,535,85,70,80,97,80,123
Xerneas,,Fairy,,680,126,131,95,131,98,99
Yveltal,,Dark,Flying,680,126,131,95,131,98,99
Zygarde ,50%,Dragon,Ground,600,108,100,121,81,95,95
Zygarde ,10%,Dragon,Ground,486,54,100,71,61,85,115
Zygarde ,Complete,Dragon,Ground,708,216,100,121,91,95,85
Diancie,,Rock,Fairy,600,50,100,150,100,150,50
Diancie,Mega ,Rock,Fairy,700,50,160,110,160,110,110
Hoopa,Confined ,Psychic,Ghost,600,80,110,60,150,130,70
Hoopa,Unbound ,Psychic,Dark,680,80,160,60,170,130,80
Volcanion,,Fire,Water,600,80,110,120,130,90,70
Rowlet,,Grass,Flying,320,68,55,55,50,50,42
Dartrix,,Grass,Flying,420,78,75,75,70,70,52
Decidueye,,Grass,Ghost,530,78,107,75,100,100,70
Litten,,Fire,,320,45,65,40,60,40,70
Torracat,,Fire,,420,65,85,50,80,50,90
Incineroar,,Fire,Dark,530,95,115,90,80,90,60
Popplio,,Water,,320,50,54,54,66,56,40
Brionne,,Water,,420,60,69,69,91,81,50
Primarina,,Water,Fairy,530,80,74,74,126,116,60
Pikipek,,Normal,Flying,265,35,75,30,30,30,65
Trumbeak,,Normal,Flying,355,55,85,50,40,50,75
Toucannon,,Normal,Flying,485,80,120,75,75,75,60
Yungoos,,Normal,,253,48,70,30,30,30,45
Gumshoos,,Normal,,418,88,110,60,55,60,45
Grubbin,,Bug,,300,47,62,45,55,45,46
Charjabug,,Bug,Electric,400,57,82,95,55,75,36
Vikavolt,,Bug,Electric,500,77,70,90,145,75,43
Crabrawler,,Fighting,,338,47,82,57,42,47,63
Crabominable,,Fighting,Ice,478,97,132,77,62,67,43
Oricorio,Baile ,Fire,Flying,476,75,70,70,98,70,93
Oricorio,Pom-Pom,Electric,Flying,476,75,70,70,98,70,93
Oricorio,Pa'u ,Psychic,Flying,476,75,70,70,98,70,93
Oricorio,Sensu ,Ghost,Flying,476,75,70,70,98,70,93
Cutiefly,,Bug,Fairy,304,40,45,40,55,40,84
Ribombee,,Bug,Fairy,464,60,55,60,95,70,124
Rockruff,,Rock,,280,45,65,40,30,40,60
Lycanroc,Midday ,Rock,,487,75,115,65,55,65,112
Lycanroc,Midnight ,Rock,,487,85,115,75,55,75,82
Lycanroc,Dusk ,Rock,,487,75,117,65,55,65,110
Wishiwashi,Solo ,Water,,175,45,20,20,25,25,40
Wishiwashi,School ,Water,,620,45,140,130,140,135,30
Mareanie,,Poison,Water,305,50,53,62,43,52,45
Toxapex,,Poison,Water,495,50,63,152,53,142,35
Mudbray,,Ground,,385,70,100,70,45,55,45
Mudsdale,,Ground,,500,100,125,100,55,85,35
Dewpider,,Water,Bug,269,38,40,52,40,72,27
Araquanid,,Water,Bug,454,68,70,92,50,132,42
Fomantis,,Grass,,250,40,55,35,50,35,35
Lurantis,,Grass,,480,70,105,90,80,90,45
Morelull,,Grass,Fairy,285,40,35,55,65,75,15
Shiinotic,,Grass,Fairy,405,60,45,80,90,100,30
Salandit,,Poison,Fire,320,48,44,40,71,40,77
Salazzle,,Poison,Fire,480,68,64,60,111,60,117
Stufful,,Normal,Fighting,340,70,75,50,45,50,50
Bewear,,Normal,Fighting,500,120,125,80,55,60,60
Bounsweet,,Grass,,210,42,30,38,30,38,32
Steenee,,Grass,,290,52,40,48,40,48,62
Tsareena,,Grass,,510,72,120,98,50,98,72
Comfey,,Fairy,,485,51,52,90,82,110,100
Oranguru,,Normal,Psychic,490,90,60,80,90,110,60
Passimian,,Fighting,,490,100,120,90,40,60,80
Wimpod,,Bug,Water,230,25,35,40,20,30,80
Golisopod,,Bug,Water,530,75,125,140,60,90,40
Sandygast,,Ghost,Ground,320,55,55,80,70,45,15
Palossand,,Ghost,Ground,480,85,75,110,100,75,35
Pyukumuku,,Water,,410,55,60,130,30,130,5
Type:Null,,Normal,,534,95,95,95,95,95,59
Silvally,,Normal,,570,95,95,95,95,95,95
Minior,Meteor ,Rock,Flying,440,60,60,100,60,100,60
Minior,Core ,Rock,Flying,500,60,100,60,100,60,120
Komala,,Normal,,480,65,115,65,75,95,65
Turtonator,,Fire,Dragon,485,60,78,135,91,85,36
Togedemaru,,Electric,Steel,435,65,98,63,40,73,96
Mimikyu,,Ghost,Fairy,476,55,90,80,50,105,96
Bruxish,,Water,Psychic,475,68,105,70,70,70,92
Drampa,,Normal,Dragon,485,78,60,85,135,91,36
Dhelmise,,Ghost,Grass,517,70,131,100,86,90,40
Jangmo-o,,Dragon,,300,45,55,65,45,45,45
Hakamo-o,,Dragon,Fighting,420,55,75,90,65,70,65
Kommo-o,,Dragon,Fighting,600,75,110,125,100,105,85
Tapu Koko,,Electric,Fairy,570,70,115,85,95,75,130
Tapu Lele,,Psychic,Fairy,570,70,85,75,130,115,95
Tapu Bulu,,Grass,Fairy,570,70,130,115,85,95,75
Tapu Fini,,Water,Fairy,570,70,75,115,95,130,85
Cosmog,,Psychic,,200,43,29,31,29,31,37
Cosmoem,,Psychic,,400,43,29,131,29,131,37
Solgaleo,,Psychic,Steel,680,137,137,107,113,89,97
Lunala,,Psychic,Ghost,680,137,113,89,137,107,97
Nihilego,,Rock,Poison,570,109,53,47,127,131,103
Buzzwole,,Bug,Fighting,570,107,139,139,53,53,79
Pheromosa,,Bug,Fighting,570,71,137,37,137,37,151
Xurkitree,,Electric,,570,83,89,71,173,71,83
Celesteela,,Steel,Flying,570,97,101,103,107,101,61
Kartana,,Grass,Steel,570,59,181,131,59,31,109
Guzzlord,,Dark,Dragon,570,223,101,53,97,53,43
Necrozma,,Psychic,,600,97,107,101,127,89,79
Necrozma,Dusk Mane ,Psychic,Steel,680,97,157,127,113,109,77
Necrozma,Dawn Wings ,Psychic,Ghost,680,97,113,109,157,127,77
Necrozma,Ultra ,Psychic,Dragon,754,97,167,97,167,97,129
Magearna,,Steel,Fairy,600,80,95,115,130,115,65
Marshadow,,Fighting,Ghost,600,90,125,80,90,90,125
Poipole,,Poison,,420,67,73,67,73,67,73
Naganadel,,Poison,Dragon,540,73,73,73,127,73,121
Stakataka,,Rock,Steel,570,61,131,211,53,101,13
Blacephalon,,Fire,Ghost,570,53,127,53,151,79,107
Zeraora,,Electric,,600,88,112,75,102,80,143
Meltan,,Steel,,300,46,65,65,55,35,34
Melmetal,,Steel,,600,135,143,143,80,65,34
Grookey,,Grass,,310,50,65,50,40,40,65
Thwackey,,Grass,,420,70,85,70,55,60,80
Rillaboom,,Grass,,530,100,125,90,60,70,85
Scorbunny,,Fire,,310,50,71,40,40,40,69
Raboot,,Fire,,420,65,86,60,55,60,94
Cinderace,,Fire,,530,80,116,75,65,75,119
Sobble,,Water,,310,50,40,40,70,40,70
Drizzile,,Water,,420,65,60,55,95,55,90
Inteleon,,Water,,530,70,85,65,125,65,120
Skwovet,,Normal,,275,70,55,55,35,35,25
Greedent,,Normal,,460,120,95,95,55,75,20
Rookidee,,Flying,,245,38,47,35,33,35,57
Corvisquire,,Flying,,365,68,67,55,43,55,77
Corviknight,,Flying,Steel,495,98,87,105,53,85,67
Blipbug,,Bug,,180,25,20,20,25,45,45
Dottler,,Bug,Psychic,335,50,35,80,50,90,30
Orbeetle,,Bug,Psychic,505,60,45,110,80,120,90
Nickit,,Dark,,245,40,28,28,47,52,50
Thievul,,Dark,,455,70,58,58,87,92,90
Gossifleur,,Grass,,250,40,40,60,40,60,10
Eldegoss,,Grass,,460,60,50,90,80,120,60
Wooloo,,Normal,,270,42,40,55,40,45,48
Dubwool,,Normal,,490,72,80,100,60,90,88
Chewtle,,Water,,284,50,64,50,38,38,44
Drednaw,,Water,Rock,485,90,115,90,48,68,74
Yamper,,Electric,,270,59,45,50,40,50,26
Boltund,,Electric,,490,69,90,60,90,60,121
Rolycoly,,Rock,,240,30,40,50,40,50,30
Carkol,,Rock,Fire,410,80,60,90,60,70,50
Coalossal,,Rock,Fire,510,110,80,120,80,90,30
Applin,,Grass,Dragon,260,40,40,80,40,40,20
Flapple,,Grass,Dragon,485,70,110,80,95,60,70
Appletun,,Grass,Dragon,485,110,85,80,100,80,30
Silicobra,,Ground,,315,52,57,75,35,50,46
Sandaconda,,Ground,,510,72,107,125,65,70,71
Cramorant,,Flying,Water,475,70,85,55,85,95,85
Arrokuda,,Water,,280,41,63,40,40,30,66
Barraskewda,,Water,,490,61,123,60,60,50,136
Toxel,,Electric,Poison,242,40,38,35,54,35,40
Toxtricity,Low Key ,Electric,Poison,502,75,98,70,114,70,75
